id,title,cover_url,genre,platform,developer,publisher,release_date,rating,description,,price_brl,tags
1,Elden Ring,https://upload.wikimedia.org/wikipedia/pt/0/0d/Elden_Ring_capa.jpg,RPG|Ação|Souls-like,PC|PS5|PS4|Xbox,FromSoftware,Bandai Namco,2022-02-25,9.4,"Mundo aberto sombrio criado por Hidetaka Miyazaki e George R.R. Martin, repleto de desafios épicos.",249.90,mundo-aberto|difícil|fantasia|souls-like
2,Baldur's Gate III,https://upload.wikimedia.org/wikipedia/en/1/12/Baldur%27s_Gate_3_cover_art.jpg,RPG|Estratégia por turno,PC|PS5|Xbox,Larian Studios,Larian Studios,2023-08-03,9.6,"RPG de turno baseado em D&D 5e com escolhas profundas, co-op e narrativa ramificada.",249.90,cooperativo|fantasia|medieval|narrativa
3,Outer Wilds,https://upload.wikimedia.org/wikipedia/commons/d/da/Outer_Wilds_poster_%28no_credits%29.jpg,Aventura|Exploração,PC|PS4|PS5|Xbox,Mobius Digital,Annapurna Interactive,2019-05-28,9.1,"Exploração de um sistema solar preso em loop de 22 minutos cheia de mistério e descoberta.",69.99,indie|espaço|mistério|loop-temporal
4,Hollow Knight,https://upload.wikimedia.org/wikipedia/en/d/de/Hollow_Knight_2026_cover_art.jpg,Plataforma|Metroidvania,PC|Switch|PS4|Xbox,Team Cherry,Team Cherry,2017-02-24,9.2,"Aventura subterrânea desenhada à mão em um reino de insetos esquecido, com combate preciso e atmosfera densa.",27.99,indie|difícil|2D|pixel-art
5,Cyberpunk 2077,https://upload.wikimedia.org/wikipedia/en/9/9f/Cyberpunk_2077_box_art.jpg,RPG|Ação|Mundo aberto,PC|PS4|PS5|Xbox,CD Projekt Red,CD Projekt,2020-12-10,7.8,"RPG futurista em um mundo aberto distópico com narrativa ramificada e personalização profunda.",199.90,futuro|distopia|ação|narrativa
6,Stray,https://upload.wikimedia.org/wikipedia/en/f/f1/Stray_cover_art.jpg,Aventura|Plataforma,PC|PS4|PS5,BlueTwelve Studio,Annapurna Interactive,2022-07-19,8.5,"Aventura de um gato perdido em uma cidade futurista cheia de robôs e mistérios para resolver.",89.90,gato|futuro|aventura|exploração
7,Minecraft,https://upload.wikimedia.org/wikipedia/pt/9/9c/Minecraft_capa.png,Sandbox|Aventura,PC|PS4|PS5|Xbox|Switch,Mojang Studios,Mojang Studios,2011-11-18,9.0,"Jogo de construção e sobrevivência em um mundo gerado proceduralmente, com infinitas possibilidades criativas.",89.90,sandbox|criatividade|multijogador|sobrevivência
8,Risk of Rain 2,https://upload.wikimedia.org/wikipedia/en/c/c1/Risk_of_Rain_2.jpg,Roguelike|Ação,PC|PS4|PS5|Xbox,Hopoo Games,Gearbox Publishing,2020-03-28,8.7,"Roguelike de ação em terceira pessoa com progressão persistente e multiplayer cooperativo.",49.90,roguelike|cooperativo|ação|multijogador
9,Subnautica,https://upload.wikimedia.org/wikipedia/en/6/6d/Subnautica_cover_art.png,Aventura|Sobrevivência,PC|PS4|PS5|Xbox,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2018-01-23,8.8,"Aventura de sobrevivência em um planeta oceânico alienígena, com exploração subaquática e construção de bases.",89.90,sobrevivência|exploração|oceano|alienígena
10,Hades,https://upload.wikimedia.org/wikipedia/en/c/cc/Hades_cover_art.jpg,Roguelike|Ação,PC|Switch|PS4|PS5,Xbox,Supergiant Games,2020-09-17,9.5,"Roguelike de ação com narrativa envolvente e combate fluido, ambientado na mitologia grega.",89.90,roguelike|mitologia|ação|narrativa
11,Resident Evil Village,https://upload.wikimedia.org/wikipedia/pt/2/2c/Resident_Evil_Village.png,Terror|Ação|Survival Horror,PC|PS4|PS5|Xbox,Capcom,Capcom,2021-05-07,8.9,"Survival horror em primeira pessoa com atmosfera tensa e narrativa envolvente.",199.90,terror|ação|survival-horror|multijogador
12,Rocket League,https://upload.wikimedia.org/wikipedia/pt/e/e8/Rocket_League.jpg,Esporte|Ação,PC|PS4|PS5|Xbox|Switch,Psyonix,Psyonix,2015-07-07,8.6,"Futebol com carros em partidas multiplayer rápidas e competitivas.",89.90,esporte|ação|multijogador|competitivo
13,night in the woods,https://static0.gamerantimages.com/wordpress/wp-content/uploads/2024/12/mixcollage-09-dec-2024-02-10-am-4756.jpg,Aventura|Narrativa,PC|PS4|PS5|Xbox,Infinite Fall,Finji,2017-02-21,8.4,"Aventura narrativa sobre uma jovem retornando à sua cidade natal cheia de mistérios e personagens memoráveis.",49.90,narrativa|aventura|indie|mistério
14,Counter-Strike 2,https://upload.wikimedia.org/wikipedia/en/f/f2/CS2_Cover_Art.jpg,Tiro em primeira pessoa|Multijogador,PC,Valve Corporation,Valve Corporation,2023-09-27,9.0,"Sequência do clássico jogo de tiro em primeira pessoa focado em partidas multiplayer competitivas.",89.90,tático|competitivo|multijogador|tiro
